index,category,evm_address,litho_address,allocation_LITHO
1,Ecosystem & Rewards,0x903AA7a6fc37F1947B6e4fC3832139A8D4152149,litho1jqa20fhuxlceg7mwflpcxgfe4r2p2g2f0nrnj5,190000000
2,Ecosystem & Rewards,0x4E7d740Af889EADcC902F9304315677E479aB3b6,litho1fe7hgzhc384dejgzlycyx9t80ere4vakcnphsm,190000000
3,Foundation Treasury,0x8819B1BdcD7727118014003b701982d9F11A50a1,litho13qvmr0wdwun3rqq5qqahqxvzm8c3559pfwwwr0,50000000
4,Foundation Treasury,0x208c35b4bCCAd24a5F621081702a0C51179Ef522,litho1yzxrtd9uetfy5hmzzzqhq2sv2yteaafzes2e67,50000000
5,Team,0x6563c80D211f14bf63a1B9613ECA1e9a692522Fc,litho1v43usrfpru2t7caph9snajs7nf5j2ghuqwxyfc,75000000
6,Team,0xF10f9C6Dd40bF34B6d9c02811dC5653dDc278D4b,litho17y8ecmw5p0e5kmvuq2q3m3t98hwz0r2t8su5ng,75000000
7,Private Sale,0x541ac09f6bf973fbe714ddb517f228c9567bca81,litho12sdvp8mtl9elhec5mk630u3ge9t8hj5p383gu9,50000000
8,Private Sale,0xb73a011268a84729fb01ad019fd0f303b3d91bdb,litho1kuaqzyng4prjn7cp45qel58nqweajx7mx45ayp,50000000
9,Public Sale,0x88d34c34701d9fe8a3f19861f61e9e277dce25ce,litho13rf5cdrsrk073gl3npslv857ya7uufww5437lz,25000000
10,Public Sale,0xb77eb09ba13937f4e096cd9080a16a51c505c7ff,litho1kaltpxap8ymlfcykekggpgt228zst3lly2t6mm,25000000
11,Liquidity & Market Making,0x80458b5007c13791489d03b4a41e1abc93041f06,litho1spzck5q8cymezjyaqw62g8s6hjfsg8cxqsrvww,35000000
12,Liquidity & Market Making,0xbd71f560dd3084933bc04777350b92f612e93970,litho1h4cl2cxaxzzfxw7qgamn2zuj7cfwjwts6w6rkw,35000000
13,Marketing & Partnerships,0xae2243eae96e8b67036db7025215f91af948e39a,litho14c3y86hfd69kwqmdkup9y90ertu53cu6ewpr7h,40000000
14,Marketing & Partnerships,0x4519838f06ff5f10aab4d2209e932c0b975a92e6,litho1g5vc8rcxla03p2456gsfayevpwt44yhxm72naj,40000000
15,Advisors,0x3fb74c392BB98900b443081828171a4Ead440B33,litho187m5cwfthxyspdzrpqvzs9c6f6k5gzenw8lkq2,70000000
